1,Lamb - Ground,9.68
2,Carbonated Water - Cherry,3.21
3,"Bread - White, Unsliced",8.38
4,Corn - On The Cob,8.69
5,"Rice Pilaf, Dry,package",5.8
6,Lamb Rack Frenched Australian,4.51
7,Chocolate - Liqueur Cups With Foil,2.85
8,Limes,2.73
9,Heavy Duty Dust Pan,6.22
10,Lotus Root,3.07
11,Anchovy In Oil,2.34
12,Table Cloth 90x90 Colour,8.51
13,Wine - Ruffino Chianti,2.79
14,"Veal - Brisket, Provimi, Bone - In",1.67
15,Beef - Top Butt,7.29
16,Juice - Ocean Spray Kiwi,1.86
17,Sour Puss - Tangerine,7.68
18,Wine - Manischewitz Concord,2.88
19,"Mushroom - Shitake, Dry",8.64
20,Container - Foam Dixie 12 Oz,2.66
21,Sobe - Berry Energy,7.49
22,Pie Shells 10,3.61
23,Bread - Ciabatta Buns,1.37
24,"Wine - Saint - Bris 2002, Sauv",5.85
25,Thyme - Fresh,5.09
26,Pop Shoppe Cream Soda,4.11
27,Container Clear 8 Oz,8.75
28,"Cheese - Brie,danish",6.73
29,"Stock - Veal, White",6.01
30,"Nut - Cashews, Whole, Raw",0.17
31,Wine - Port Late Bottled Vintage,2.24
32,Muffin Chocolate Individual Wrap,3.64
33,Wine - Alsace Riesling Reserve,0.88
34,Pork - Sausage Casing,7.6
35,Pastry - Mini French Pastries,9.66
36,"Rum - Dark, Bacardi, Black",0.18
37,"Marjoram - Dried, Rubbed",0.4
38,Wine - Cave Springs Dry Riesling,1.38
39,Extract - Almond,2.84
40,Appetizer - Chicken Satay,9.99
41,Skewers - Bamboo,4.65
42,Cream - 35%,8.04
43,Soup - Campbells Tomato Ravioli,2.03
44,Wine - Blue Nun Qualitatswein,7.13
45,Tart - Butter Plain Squares,4.63
46,Shiratamako - Rice Flour,9.3
47,"Veal - Round, Eye Of",0.12
48,Sprouts - Pea,1.49
49,Peach - Halves,3.22
50,Mousse - Banana Chocolate,5.54
51,Fib N9 - Prague Powder,7.29
